Image,Species,Behavior,Shade,Plant,Part,Location,Iguana_and_tortoise_present
SANTA FE 1001/2023-08-12 12-25-06 M 3_3_crop1.JPG,Tortoise,Resting_ground,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-12 13-17-06 M 1_3_crop1.JPG,Tortoise,Foraging,Shade,Grass,Stem,Plant,False
SANTA FE 1001/2023-08-12 13-18-06 M 2_3_crop1.JPG,Tortoise,Foraging,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-12 13-19-06 M 3_3_crop1.JPG,Tortoise,Foraging,Shade,Grass,Stem,Ground,False
SANTA FE 1001/2023-08-14 13-26-39 M 1_3_crop1.JPG,Mockingbird,Foraging,Shade,NA,NA,NA,False
SANTA FE 1001/2023-08-14 13-27-39 M 2_3_crop1.JPG,Other,Unknown,Sunlight,NA,NA,NA,False
SANTA FE 1001/2023-08-14 13-27-39 M 2_3_crop2.JPG,Other,Unknown,Sunlight,NA,NA,NA,False
SANTA FE 1001/2023-08-15 06-53-45 M 1_3_crop1.JPG,Hawk,Foraging,Shade,NA,NA,NA,False
SANTA FE 1001/2023-08-15 16-53-34 M 1_3_crop1.JPG,Tortoise,Walking,Sunlight,NA,NA,Ground,False
SANTA FE 1001/2023-08-16 16-23-29 M 1_3_crop1.JPG,Iguana,Walking,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-16 16-24-29 M 2_3_crop1.JPG,Iguana,Resting_ground,Sunlight,NA,NA,Ground,False
SANTA FE 1001/2023-08-20 09-46-55 M 1_3_crop1.JPG,Other,Unknown,Unknown,Unknown,NA,NA,False
SANTA FE 1001/2023-08-20 11-04-31 M 2_3_crop1.JPG,Tortoise,Resting_elevated,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-20 11-55-40 M 1_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-08-20 12-49-04 M 1_3_crop1.JPG,Tortoise,Sleeping,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-20 12-50-04 M 2_3_crop1.JPG,Tortoise,Sleeping,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-20 13-06-08 M 2_3_crop1.JPG,Tortoise,Sleeping,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-20 13-07-08 M 3_3_crop1.JPG,Tortoise,Sleeping,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-20 13-46-20 M 1_3_crop1.JPG,Tortoise,Foraging,Sunlight,NA,NA,Ground,False
SANTA FE 1001/2023-08-20 14-44-47 M 1_3_crop1.JPG,Tortoise,Foraging,Shade,Unknown,Unknown,NA,False
SANTA FE 1001/2023-08-20 15-11-22 M 1_3_crop1.JPG,Tortoise,Unknown,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-20 15-12-22 M 2_3_crop1.JPG,Tortoise,Unknown,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-21 09-32-02 M 1_3_crop1.JPG,Iguana,Resting_ground,Shade,Grass,Stem,Plant,False
SANTA FE 1001/2023-08-21 09-33-02 M 2_3_crop1.JPG,Tortoise,Resting_ground,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-21 10-54-55 M 1_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-08-21 10-56-55 M 3_3_crop1.JPG,Tortoise,Foraging,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-21 11-34-44 M 1_3_crop1.JPG,Tortoise,Walking,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-21 11-35-44 M 2_3_crop1.JPG,Tortoise,Walking,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-21 11-36-44 M 3_3_crop1.JPG,Tortoise,Walking,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-21 12-20-49 M 2_3_crop1.JPG,Iguana,Territorial_displaying,Shade,Woody,Trunk,Plant,False
SANTA FE 1001/2023-08-21 12-21-49 M 3_3_crop1.JPG,Iguana,Foraging,Shade,Woody,Trunk,Plant,False
SANTA FE 1001/2023-08-21 12-34-16 M 2_3_crop1.JPG,Iguana,Foraging,Shade,Woody,Trunk,Ground,False
SANTA FE 1001/2023-08-21 12-35-16 M 3_3_crop1.JPG,Iguana,Foraging,Sunlight,Woody,Trunk,Ground,False
SANTA FE 1001/2023-08-21 12-35-16 M 3_3_crop2.JPG,Other,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-08-21 12-48-25 M 3_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,Ground,False
SANTA FE 1001/2023-08-21 13-04-52 M 3_3_crop1.JPG,Tortoise,Foraging,Shade,Grass,Stem,Ground,False
SANTA FE 1001/2023-08-21 13-50-32 M 3_3_crop1.JPG,Tortoise,Foraging,Shade,Grass,Stem,Ground,False
SANTA FE 1001/2023-08-21 13-50-32 M 3_3_crop2.JPG,Iguana,Territorial_displaying,Shade,Woody,Trunk,Ground,False
SANTA FE 1001/2023-08-21 14-01-51 M 1_3_crop1.JPG,Iguana,Resting_elevated,Shade,Grass,NA,Ground,False
SANTA FE 1001/2023-08-21 14-02-51 M 2_3_crop1.JPG,Iguana,Resting_elevated,Shade,Grass,Unknown,Ground,False
SANTA FE 1001/2023-08-21 14-03-51 M 3_3_crop1.JPG,Iguana,Resting_elevated,Shade,Grass,Unknown,Ground,False
SANTA FE 1001/2023-08-21 14-14-11 M 1_3_crop1.JPG,Iguana,Resting_ground,Shade,Grass,NA,Ground,False
SANTA FE 1001/2023-08-21 14-15-11 M 2_3_crop1.JPG,Iguana,Resting_ground,Shade,Grass,NA,Ground,False
SANTA FE 1001/2023-08-22 07-01-37 M 1_3_crop1.JPG,Tortoise,Resting_ground,Sunlight,Grass,NA,Ground,False
SANTA FE 1001/2023-08-22 07-01-37 M 1_3_crop2.JPG,Tortoise,Foraging,Sunlight,Grass,NA,Ground,False
SANTA FE 1001/2023-08-25 14-18-19 M 1_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-08-26 13-15-56 M 1_3_crop1.JPG,Iguana,Walking,Sunlight,Grass,NA,Ground,False
SANTA FE 1001/2023-08-27 07-15-50 M 1_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-08-27 12-05-39 M 3_3_crop1.JPG,Iguana,Foraging,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-08-27 12-24-04 M 2_3_crop1.JPG,Iguana,Foraging,Shade,Grass,NA,Ground,False
SANTA FE 1001/2023-08-27 12-25-04 M 3_3_crop1.JPG,Iguana,Courtship,Shade,Grass,NA,Ground,False
SANTA FE 1001/2023-08-27 12-36-45 M 1_3_crop1.JPG,Iguana,Resting_elevated,Shade,Woody,Trunk,Ground,False
SANTA FE 1001/2023-08-27 12-37-45 M 2_3_crop1.JPG,Iguana,Foraging,Shade,Woody,Trunk,Ground,False
SANTA FE 1001/2023-08-27 12-38-45 M 3_3_crop1.JPG,Iguana,Foraging,Shade,Woody,Trunk,Ground,False
SANTA FE 1001/2023-08-27 12-53-02 M 1_3_crop1.JPG,Iguana,Foraging,Shade,Woody,Trunk,Ground,False
SANTA FE 1001/2023-08-27 12-54-02 M 2_3_crop1.JPG,Iguana,Foraging,Shade,Woody,Trunk,Ground,False
SANTA FE 1001/2023-08-27 12-55-02 M 3_3_crop1.JPG,Iguana,Foraging,Shade,Woody,Trunk,Ground,False
SANTA FE 1001/2023-08-27 13-05-55 M 1_3_crop1.JPG,Iguana,Resting_elevated,Shade,Woody,Trunk,Ground,False
SANTA FE 1001/2023-08-27 13-06-55 M 2_3_crop1.JPG,Iguana,Unknown,Shade,Woody,Trunk,Ground,False
