Image,Species,Behavior,Shade,Plant,Part,Location,Iguana_and_tortoise_present
Camera trap 983/DCIM/100RECNX/RCNX0269_crop1.JPG,Other,Unknown,Sunlight,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0282_crop1.JPG,Other,Unknown,Sunlight,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0318_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0324_crop1.JPG,Dove,Walking,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0331_crop1.JPG,Dove,Resting_ground,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0338_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0340_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0342_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0349_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0354_crop1.JPG,Iguana,Resting_ground,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0359_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0373_crop1.JPG,Iguana,Resting_ground,Shade,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0374_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0375_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0391_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0392_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0403_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0405_crop1.JPG,Iguana,Resting_ground,Shade,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0410_crop1.JPG,Hawk,Resting_ground,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0414_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0426_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0437_crop1.JPG,Iguana,Resting_ground,Sunlight,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0441_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0442_crop1.JPG,Finch,Walking,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0443_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0444_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0445_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0446_crop1.JPG,Other,Flying,Shade,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0449_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0467_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0478_crop1.JPG,Iguana,Resting_ground,Shade,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0480_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0486_crop1.JPG,Finch,Resting_ground,Sunlight,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0490_crop1.JPG,Dove,Walking,Sunlight,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0503_crop1.JPG,Iguana,Walking,Sunlight,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0519_crop1.JPG,Iguana,Resting_ground,Shade,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0521_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0533_crop1.JPG,Iguana,Resting_ground,Sunlight,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0534_crop1.JPG,Iguana,Resting_ground,Sunlight,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0537_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0544_crop1.JPG,Finch,Walking,Shade,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0544_crop2.JPG,Mockingbird,Unknown,Shade,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0583_crop1.JPG,Iguana,Resting_ground,Sunlight,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0584_crop1.JPG,Iguana,Resting_ground,Sunlight,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0584_crop2.JPG,Dove,Unknown,Shade,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0585_crop1.JPG,Iguana,Walking,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0586_crop1.JPG,Iguana,Resting_ground,Sunlight,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0610_crop1.JPG,Iguana,Resting_ground,Shade,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0610_crop2.JPG,Mockingbird,Unknown,Sunlight,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0611_crop1.JPG,Iguana,Resting_ground,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0612_crop1.JPG,Iguana,Resting_ground,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0625_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0626_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0635_crop1.JPG,Iguana,Walking,Shade,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0642_crop1.JPG,Dove,Resting_ground,Sunlight,NA,NA,NA,
